"customer_id","revenue_sum","month_year"
"000c076c39","1860.00","2021-01"
"000c076c39","3908.52","2021-02"
"000c076c39","3610.52","2021-03"
"000c076c39","3540.00","2021-04"
"000c076c39","3028.00","2021-05"
"000c076c39","6838.88","2021-06"
"000c076c39","2320.00","2021-07"
"000c076c39","4720.00","2021-08"
"000c076c39","3940.00","2021-09"
"000c076c39","3700.00","2021-10"
"000c076c39","1700.00","2021-11"
"000c076c39","2661.00","2021-12"
"000c076c39","5711.80","2022-01"
"000c076c39","6311.80","2022-02"
"000c076c39","4516.48","2022-03"
"000c076c39","3240.00","2022-04"
"000c076c39","5169.52","2022-05"
"000c076c39","1080.00","2022-06"
"000c076c39","360.00","2022-07"
"000c076c39","1800.00","2022-08"
"000c076c39","2439.00","2022-09"
"000c076c39","720.00","2022-10"
"000c076c39","1750.48","2022-11"
"000c076c39","3390.48","2022-12"
"000c076c39","6740.52","2023-01"
"000c076c39","8730.00","2023-03"
"000c076c39","2250.00","2023-04"
"000c076c39","1480.00","2023-05"
"000c076c39","8350.40","2023-06"
"000c076c39","2128.00","2023-08"
"000c076c39","4500.00","2023-09"
"000c076c39","1120.00","2023-10"
"000c076c39","2600.00","2023-11"
"000c076c39","3152.60","2023-12"
"000c28b77a","720.00","2021-09"
"000e82a96e","1040.00","2021-01"
"000e82a96e","503.00","2021-10"
"000e82a96e","1564.88","2022-05"
"001ab2fa02","1150.32","2023-07"
"0038eadea3","740.00","2023-05"
"0041bc0885","0.00","2023-09"
"0041bc0885","19470.12","2023-11"
"0041bc0885","15116.12","2023-12"
"0049bb86fa","540.00","2022-08"
"0049bb86fa","1219.80","2022-10"
"0049bb86fa","1200.00","2023-09"
"00650747d8","5180.00","2021-01"
"00650747d8","12640.00","2021-02"
"00650747d8","13332.00","2021-03"
"00650747d8","9920.00","2021-04"
"00650747d8","22988.00","2021-05"
"00650747d8","13175.92","2021-06"
"00650747d8","10420.00","2021-07"
"00650747d8","12740.00","2021-08"
"00650747d8","11156.32","2021-09"
"00650747d8","14652.64","2021-10"
"00650747d8","12252.00","2021-11"
"00650747d8","9740.00","2021-12"
"00650747d8","8246.00","2022-01"
"00650747d8","16052.00","2022-02"
"00650747d8","13400.00","2022-03"
"00650747d8","19479.72","2022-04"
"00650747d8","12209.52","2022-05"
"00650747d8","10468.00","2022-06"
"00650747d8","4236.00","2022-07"
"00650747d8","6276.00","2022-08"
"00650747d8","1680.00","2022-09"
"00650747d8","2720.00","2022-11"
"00650747d8","4284.00","2022-12"
"00650747d8","3238.00","2023-01"
"00650747d8","1880.00","2023-02"
"00650747d8","1470.00","2023-04"
"00650747d8","2280.00","2023-05"
"00650747d8","1660.00","2023-09"
"00650747d8","2780.00","2023-10"
"00650747d8","2260.00","2023-11"
"0089d4bae6","1080.00","2022-04"
"0089d4bae6","2420.00","2022-06"
"0089d4bae6","1208.00","2022-10"
"0089d4bae6","2020.00","2023-01"
"0089d4bae6","720.00","2023-05"
"0089d4bae6","960.00","2023-07"
"00901c33a8","920.00","2022-05"
"00901c33a8","3382.88","2022-07"
"00901c33a8","6885.76","2022-08"
"00901c33a8","2760.00","2022-10"
"00901c33a8","3416.00","2022-11"
"00901c33a8","400.00","2022-12"
"00901c33a8","3199.80","2023-04"
"00901c33a8","1532.00","2023-05"
"00be99fb80","7406.52","2021-01"
"00be99fb80","356.00","2021-02"
"00be99fb80","1168.00","2021-03"
"00be99fb80","2539.00","2021-04"
"00be99fb80","3973.88","2021-05"
"00be99fb80","1534.88","2021-06"
"00be99fb80","770.00","2021-07"
"00be99fb80","3066.88","2021-08"
"00be99fb80","812.00","2021-09"
"00be99fb80","3061.88","2021-10"
"00be99fb80","2602.88","2021-11"
"00be99fb80","1990.88","2021-12"
"00be99fb80","1108.00","2022-01"
"00be99fb80","1228.00","2022-02"
"00be99fb80","2414.00","2022-03"
"00be99fb80","1662.88","2022-04"
"00be99fb80","2690.00","2022-05"
"00be99fb80","1985.76","2022-06"
"00be99fb80","1349.76","2022-07"
"00be99fb80","2577.76","2022-08"
"00be99fb80","1811.04","2022-09"
"00be99fb80","4422.40","2022-10"
"00be99fb80","1718.40","2022-11"
"00be99fb80","920.88","2022-12"
"00be99fb80","1342.40","2023-01"
"00be99fb80","1783.76","2023-02"
"00be99fb80","7966.24","2023-03"
"00be99fb80","5746.56","2023-04"
"00be99fb80","4041.92","2023-05"
"00be99fb80","2501.76","2023-06"
"00be99fb80","960.88","2023-07"
"00be99fb80","1288.88","2023-08"
"00be99fb80","1821.92","2023-09"
"00be99fb80","2949.92","2023-10"
"00be99fb80","918.00","2023-11"
"00be99fb80","752.00","2023-12"
"00f208acb5","23570.32","2022-05"
"00f208acb5","11045.12","2022-06"
"01064f1de9","1320.00","2021-02"
"01064f1de9","1240.00","2021-04"
"01064f1de9","1880.00","2022-08"
"010e406df2","11072.00","2021-01"
"010e406df2","9460.00","2021-02"
"010e406df2","7033.52","2021-03"
"010e406df2","7576.00","2021-04"
"010e406df2","5856.00","2021-05"
"010e406df2","17245.04","2021-06"
"010e406df2","5414.88","2021-07"
"010e406df2","380.00","2021-08"
"010e406df2","15185.92","2021-09"
"010e406df2","16725.04","2021-10"
"010e406df2","26120.00","2021-11"
"010e406df2","8096.00","2021-12"
"010e406df2","960.00","2022-01"
"010e406df2","1200.00","2022-02"
"010e406df2","15901.52","2022-03"
"010e406df2","1104.00","2022-04"
"010e406df2","3120.00","2022-05"
"010e406df2","1841.28","2022-06"
"010e406df2","880.00","2022-07"
