invoice_id,invoice_date,revenue,customer_id,order_id,product_line_id,order_state_id,sales_territory_id,sales_territory,state_abbrv,state_name,year_month_eng,quarter_year,year_month
3152,12/1/2022,390,7402,2358561,2,41,4,West,ID,Idaho,22-Dec,Q4-2022,2022-12
2992,12/1/2022,47.5,10116,2312008,2,33,4,West,NY,New York,22-Dec,Q4-2022,2022-12
2964,12/1/2022,47.5,12132,2297916,2,8,2,Midwest,AL,Alabama,22-Dec,Q4-2022,2022-12
2872,12/1/2022,45,22740,2261262,2,33,1,Northeast,NY,New York,22-Dec,Q4-2022,2022-12
2238,12/1/2022,49.5,6182,2048496,1,4,4,West,AR,Arkansas,22-Dec,Q4-2022,2022-12
2250,12/1/2022,47.5,7566,2057234,1,4,1,Northeast,AR,Arkansas,22-Dec,Q4-2022,2022-12
2776,12/1/2022,45,11128,2235200,1,27,2,Midwest,NV,Nevada,22-Dec,Q4-2022,2022-12
2900,12/1/2022,44.5,653732,2276790,1,33,2,Midwest,NY,New York,22-Dec,Q4-2022,2022-12
2714,12/1/2022,42.5,2638124,2208962,1,4,4,West,AR,Arkansas,22-Dec,Q4-2022,2022-12
2412,12/1/2022,57.5,12256,2114076,1,7,3,South,MS,Mississippi,22-Dec,Q4-2022,2022-12
2916,12/1/2022,270,3291908,2283472,1,39,4,West,MN,Minnesota,22-Dec,Q4-2022,2022-12
2768,12/1/2022,47.5,7076,2232997,1,8,3,South,AL,Alabama,22-Dec,Q4-2022,2022-12
2920,12/1/2022,75,9390,2284009,1,11,4,West,TN,Tennessee,22-Dec,Q4-2022,2022-12
3152,12/1/2022,540,3413438,2354577,1,23,1,Northeast,IL,Illinois,22-Dec,Q4-2022,2022-12
3062,12/1/2022,45,22880,2334568,1,3,2,Midwest,LA,Louisiana,22-Dec,Q4-2022,2022-12
2164,12/1/2022,47.5,7806,2028024,1,10,3,South,TX,Texas,22-Dec,Q4-2022,2022-12
2700,12/1/2022,190,8346,2204953,1,18,4,West,KY,Kentucky,22-Dec,Q4-2022,2022-12
2338,12/1/2022,47.5,346700,2089863,1,27,3,South,NV,Nevada,22-Dec,Q4-2022,2022-12
2214,12/1/2022,50,2056,2043972,1,19,3,South,CO,Colorado,22-Dec,Q4-2022,2022-12
3150,12/1/2022,50,2056,2365911,1,40,3,South,VT,Vermont,22-Dec,Q4-2022,2022-12
2550,12/1/2022,45,1112938,2159844,1,20,3,South,MD,Maryland,22-Dec,Q4-2022,2022-12
2992,12/1/2022,180,1586088,2301307,1,12,2,Midwest,NC,North Carolina,22-Dec,Q4-2022,2022-12
2612,12/1/2022,50,165206,2180071,1,1,4,West,MI,Michigan,22-Dec,Q4-2022,2022-12
2800,12/1/2022,220,1584866,2242232,1,44,3,South,SD,South Dakota,22-Dec,Q4-2022,2022-12
3112,12/1/2022,42.5,10416,2349218,1,6,3,South,GA,Georgia,22-Dec,Q4-2022,2022-12
2600,12/1/2022,45,23346,2179297,1,5,4,West,SC,South Carolina,22-Dec,Q4-2022,2022-12
2716,12/1/2022,47.5,11752,2219120,1,27,1,Northeast,NV,Nevada,22-Dec,Q4-2022,2022-12
2370,12/1/2022,378,59888,2102271,1,20,1,Northeast,MD,Maryland,22-Dec,Q4-2022,2022-12
2846,12/1/2022,44.5,2239520,2252681,1,42,2,Midwest,WI,Wisconsin,22-Dec,Q4-2022,2022-12
2962,12/1/2022,22.5,2780754,2295311,1,15,4,West,MO,Missouri,22-Dec,Q4-2022,2022-12
2686,12/1/2022,47.5,10552,2208957,1,35,3,South,MA,Massachusetts,22-Dec,Q4-2022,2022-12
2456,12/1/2022,200,7038,2120128,1,32,3,South,PA,Pennsylvania,22-Dec,Q4-2022,2022-12
2748,12/1/2022,45,7568,2225261,1,28,4,West,IN,Indiana,22-Dec,Q4-2022,2022-12
3208,12/1/2022,49.5,23624,2379980,1,16,3,South,VA,Virginia,22-Dec,Q4-2022,2022-12
2452,12/1/2022,47.5,7704,2130537,1,5,1,Northeast,SC,South Carolina,22-Dec,Q4-2022,2022-12
2844,12/1/2022,42.5,7166,2258306,1,8,2,Midwest,AL,Alabama,22-Dec,Q4-2022,2022-12
3078,12/1/2022,50,1499552,2339668,1,36,2,Midwest,IA,Iowa,22-Dec,Q4-2022,2022-12
2476,12/1/2022,190,2064,2125611,1,33,3,South,NY,New York,22-Dec,Q4-2022,2022-12
2460,12/1/2022,52.5,7578,2122402,1,18,4,West,KY,Kentucky,22-Dec,Q4-2022,2022-12
2200,12/1/2022,189.96,2064,2037298,1,32,3,South,PA,Pennsylvania,22-Dec,Q4-2022,2022-12
2790,12/1/2022,50,2056,2240262,1,47,3,South,MT,Montana,22-Dec,Q4-2022,2022-12
2224,12/1/2022,47.5,8588,2040159,1,35,4,West,MA,Massachusetts,22-Dec,Q4-2022,2022-12
3022,12/1/2022,37.5,8626,2323228,1,47,4,West,MT,Montana,22-Dec,Q4-2022,2022-12
2796,12/1/2022,62.5,59824,2235956,1,19,2,Midwest,CO,Colorado,22-Dec,Q4-2022,2022-12
2784,12/1/2022,49.5,23624,2230002,1,7,3,South,MS,Mississippi,22-Dec,Q4-2022,2022-12
2674,12/1/2022,45,2083448,2200695,1,39,2,Midwest,MN,Minnesota,22-Dec,Q4-2022,2022-12
2994,12/1/2022,52.5,1203360,2308918,1,23,2,Midwest,IL,Illinois,22-Dec,Q4-2022,2022-12
2958,12/1/2022,67,9988,2293578,1,37,3,South,NH,New Hampshire,22-Dec,Q4-2022,2022-12
3218,12/1/2022,22.5,2780754,2381317,1,3,4,West,LA,Louisiana,22-Dec,Q4-2022,2022-12
3120,12/1/2022,37.5,1002532,2333709,1,35,1,Northeast,MA,Massachusetts,22-Dec,Q4-2022,2022-12
2554,12/1/2022,50,1696316,2164961,1,26,1,Northeast,UT,Utah,22-Dec,Q4-2022,2022-12
2528,12/1/2022,40,22982,2161772,1,31,1,Northeast,CT,Connecticut,22-Dec,Q4-2022,2022-12
2810,12/1/2022,45,10628,2245602,1,7,2,Midwest,MS,Mississippi,22-Dec,Q4-2022,2022-12
